#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B99F94
#Date Time: 2023-11-06 16:24:14.242
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1000
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.24727 V
#Offset: -0.000166832 V
#Relative: no
#Channel: Channel 2
#Range: 5.25682 V
#Offset: 0.000282532 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.00086479 V
#Negative Supply: ON
#Voltage: -5 V Readback: -5.000729267 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.007875692207889952,-0.08300217513180651,-0.3593383496778557
100.6938631476028,-0.007700373566828229,-0.08312734062551662,-0.3622898996896708
101.3925407558815,-0.007348172284651415,-0.0829975157722819,-0.3648557110387358
102.0960662306047,-0.006261185902139567,-0.08315967349576688,-0.3679349798846516
102.8044732093311,-0.008208756299662829,-0.0829653425253756,-0.3698232495475668
103.5177955630177,-0.008799735669241384,-0.08324294239544021,-0.3728343434820403
104.2360673976402,-0.008169900252432569,-0.08311059340560337,-0.3753048693071648
104.9593230558228,-0.009134073015348123,-0.08296686710921408,-0.3772729998636066
105.6875971184805,-0.008322884055879047,-0.08302346308566635,-0.3796990503272255
106.4209244064726,-0.008792887179183854,-0.0832221381058883,-0.3824309672393156
107.1593399822672,-0.007503527121685012,-0.08296684599640286,-0.3855485457516963
107.9028791516185,-0.007902422903368898,-0.08305479908967459,-0.3897008567589637
108.6515774652538,-0.007768645207599872,-0.08301741269872619,-0.3897172376669005
109.4054707205744,-0.008852262600625353,-0.08319177248035203,-0.3938888782263348
110.1645949633658,-0.008546191978885035,-0.08319468708089932,-0.3971607600913458
110.9289864895224,-0.008711972633757691,-0.08314668137551508,-0.4001501881072187
111.6986818467824,-0.008900232694024495,-0.08309334875074904,-0.4014763493791378
112.4737178364752,-0.008925528662325891,-0.08328963067655902,-0.4044214294968285
