#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B99F94
#Date Time: 2023-11-06 17:02:37.021
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1000
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.24727 V
#Offset: -0.000166832 V
#Relative: no
#Channel: Channel 2
#Range: 5.25682 V
#Offset: 0.000282532 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.00624155 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.997803377 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.03050518138000504,6.508271602929517,-101.9398961519523
100.6938631476028,-0.03051661195493699,6.565535048154651,-102.0243627045729
101.3925407558815,-0.0309713857250701,6.623418087442144,-102.1148416966729
102.0960662306047,-0.03335875652450283,6.682605173044912,-102.1963084329301
102.8044732093311,-0.03255652275593219,6.738615198146015,-102.2908158480207
103.5177955630177,-0.0328715644342056,6.796890648252409,-102.3755852649812
104.2360673976402,-0.03195842490003727,6.85329347923505,-102.4726795256299
104.9593230558228,-0.03217573416981445,6.909979185251128,-102.546702604446
105.6875971184805,-0.03156613139809522,6.967046607977477,-102.6480477855042
106.4209244064726,-0.03200233726661944,7.024871516091578,-102.7142568840445
107.1593399822672,-0.03129953851328324,7.081693598691158,-102.8223062806989
107.9028791516185,-0.03090095342646725,7.139007679737893,-102.9078838026079
108.6515774652538,-0.03190718347099669,7.196165109166107,-103.0052382412954
109.4054707205744,-0.03122160959620361,7.253956870094436,-103.0877619136874
110.1645949633658,-0.03130877459974005,7.309414556862982,-103.1689215623877
110.9289864895224,-0.03224663940431777,7.366351739518258,-103.2635606755514
111.6986818467824,-0.03167173241014631,7.422611396560663,-103.3671459753517
112.4737178364752,-0.03027527803647966,7.478544681889142,-103.4495170314803
113.2541315152813,-0.03347284916423569,7.537540355440861,-103.5376329986698
114.0399601970034,-0.03241706929476462,7.593921342228677,-103.6304668415124
114.8312414543512,-0.03192743805998131,7.648966508027372,-103.7145080610025
115.6280131207376,-0.03367247584178588,7.70669476632416,-103.8121280195583
116.4303132920877,-0.03237653213959044,7.761911858713142,-103.898080471446
117.23818032866,-0.03260997738947879,7.819946424468521,-104.0052012689567
118.0516528568807,-0.03158544068298898,7.876110292883501,-104.1160901713993
118.8707697711905,-0.03104925505958804,7.933055476199046,-104.221213255045
119.6955702359044,-0.0338443764790405,7.992098944405476,-104.3333676571026
120.5260936870843,-0.03271567392600125,8.047532763610745,-104.4277020262552
121.3623798344242,-0.03190055460809207,8.103084373208079,-104.5242102792975
122.204468663149,-0.02966132032130635,8.157660311724783,-104.6191258161229
123.0524004359263,-0.03171551453425527,8.215028830688222,-104.7161117298801
123.9062156947917,-0.03380002179276148,8.272028354214884,-104.8049921642355
124.765955263087,-0.03191342238257671,8.32584306816795,-104.9276387679948
125.6316602474122,-0.03329939272812041,8.38341661563425,-105.0173948487358
126.5033720395905,-0.03129705208558688,8.437898307907911,-105.1222139791299
127.381132318648,-0.02973394903547127,8.494317771613224,-105.209813687859
128.2649830528061,-0.03119620104617592,8.549633039018337,-105.3302803489493
129.1549665014884,-0.03281095994698392,8.607012420340023,-105.4324606885155
130.051125217341,-0.03052352964936285,8.662191868463372,-105.5416803333603
130.9535020482669,-0.03069615289102982,8.717248748259376,-105.6403893158104
131.862140139475,-0.03073189824500576,8.772826563418869,-105.735715344058
132.7770829355431,-0.03114289678169771,8.828668245919278,-105.8510716589554
133.6983741824948,-0.03070737359189466,8.883833642513817,-105.9369494182108
134.6260579298911,-0.03206785331793223,8.939416525848793,-106.0510488110843
135.560178532937,-0.032490381971955,8.995124645265975,-106.150560148252
136.5007806546015,-0.03143447622606737,9.048826373334606,-106.2519437891476
137.4479092677538,-0.0335758691928042,9.105825742422439,-106.3537970278258
138.4016096573133,-0.03202222021359576,9.160564966314219,-106.476338618159
139.3619274224143,-0.03096425172679504,9.216510820820483,-106.6105436435069
140.3289084785875,-0.03207410155452937,9.271044124575775,-106.7361892682366
141.3025990599535,-0.03064677510694579,9.324498002913847,-106.8689508758652
142.2830457214353,-0.03083318187237945,9.380796155480311,-106.9936184632709
143.2702953409832,-0.03100660255260488,9.435688042173387,-107.0958698213831
144.2643951218159,-0.03137602080027602,9.490148652285917,-107.2148734698111
145.2653925946783,-0.03027199767402971,9.544261437589155,-107.3395384942223
146.2733356201131,-0.03199092207140922,9.599580155361954,-107.4420316673797
147.2882723907503,-0.0305156633456719,9.652820100578788,-107.5545748188685
148.3102514336106,-0.03239762128659711,9.708999982098645,-107.6636903509465
149.3393216124254,-0.03118997684196826,9.763324376593749,-107.7799886525752
150.375532129974,-0.02975077372905885,9.81679453929625,-107.9208542151162
151.4189325304353,-0.02891945857897493,9.869566961580549,-108.032762073818
152.4695727017575,-0.03032479777579548,9.924624028139048,-108.1513687751529
153.5275028780424,-0.03149797620193838,9.979550857163909,-108.2618566689382
154.5927736419478,-0.03037394212280297,10.03263066241634,-108.3899170921731
155.6654359271064,-0.02997024898398423,10.08679464885026,-108.5037602563098
156.7455410205597,-0.03105452003950661,10.13999812910286,-108.6282954351125
157.8331405652118,-0.03193261692183133,10.19448404306955,-108.7432664534953
158.928286562298,-0.03315756922688207,10.24957543602941,-108.8553372052659
160.0310313738702,-0.03330718745540257,10.30295911480413,-108.9745543380494
161.1414277253022,-0.03454991103144783,10.35916617712098,-109.0916744844709
